,conference,year,title,id,authors,tags,notes
10,icse/icse,2017,Machine learning-based detection of open source license exceptions.,conf/icse/VendomeVBPGP17,"Christopher Vendome, Mario Linares Vásquez, Gabriele Bavota, Massimiliano Di Penta, Daniel M. Germán, Denys Poshyvanyk",Recommendation systems,
11,icse/icse,2017,Software development waste.,conf/icse/SedanoRP17,"Todd Sedano, Paul Ralph, Cécile Péraire",Software process,
12,icse/icse,2017,Becoming agile: a grounded theory of agile transitions in practice.,conf/icse/HodaN17,"Rashina Hoda, James Noble",Software process,
13,icse/icse,2017,From diversity by numbers to diversity as process: supporting inclusiveness in software development teams with brainstorming.,conf/icse/FilippovaTH17,"Anna Filippova, Erik H. Trainer, James D. Herbsleb",Software process,
14,icse/icse,2017,Classifying developers into core and peripheral: an empirical study on count and network metrics.,conf/icse/JoblinAHM17,"Mitchell Joblin, Sven Apel, Claus Hunsen, Wolfgang Mauerer",Studies of software developers,
15,icse/icse,2017,Decoding the representation of code in the brain: an fMRI study of code review and expertise.,conf/icse/FloydSW17,"Benjamin Floyd, Tyler Santander, Westley Weimer",Studies of software developers,
16,icse/icse,2017,"Understanding the impressions, motivations, and barriers of one time code contributors to FLOSS projects: a survey.",conf/icse/LeeCB17,"Amanda Lee, Jeffrey C. Carver, Amiangshu Bosu",Studies of software developers,
17,icse/icse,2017,Search-driven string constraint solving for vulnerability detection.,conf/icse/ThomeSBB17,"Julian Thomé, Lwin Khin Shar, Domenico Bianculli, Lionel C. Briand",Search-based software engineering,
18,icse/icse,2017,A guided genetic algorithm for automated crash reproduction.,conf/icse/SoltaniPD17,"Mozhan Soltani, Annibale Panichella, Arie van Deursen",Search-based software engineering,
19,icse/icse,2017,Stochastic optimization of program obfuscation.,conf/icse/LiuSSJGS17,"Han Liu, Chengnian Sun, Zhendong Su, Yu Jiang, Ming Gu, Jiaguang Sun",Search-based software engineering,
20,icse/icse,2017,ZenIDS: introspective intrusion detection for PHP applications.,conf/icse/HawkinsD17,"Byron Hawkins, Brian Demsky",Web applications,
21,icse/icse,2017,Statically checking web API requests in JavaScript.,conf/icse/WitternYZDL17,"Erik Wittern, Annie T. T. Ying, Yunhui Zheng, Julian Dolby, Jim Alain Laredo",Web applications,
22,icse/icse,2017,On cross-stack configuration errors.,conf/icse/SayaghKA17,"Mohammed Sayagh, Noureddine Kerzazi, Bram Adams",Web applications,
23,icse/icse,2017,Efficient detection of thread safety violations via coverage-guided generation of concurrent tests.,conf/icse/ChoudharyLP17,"Ankit Choudhary, Shan Lu, Michael Pradel",Concurrency,
24,icse/icse,2017,RClassify: classifying race conditions in web applications via deterministic replay.,conf/icse/ZhangW17,"Lu Zhang, Chao Wang",Concurrency,
25,icse/icse,2017,Repairing event race errors by controlling nondeterminism.,conf/icse/AdamsenMKSTS17,"Christoffer Quist Adamsen, Anders Møller, Rezwana Karim, Manu Sridharan, Frank Tip, Koushik Sen",Concurrency,
26,icse/icse,2017,Making malory behave maliciously: targeted fuzzing of android execution environments.,conf/icse/RasthoferATP17,"Siegfried Rasthofer, Steven Arzt, Stefan Triller, Michael Pradel",Mobile application security,
27,icse/icse,2017,A SEALANT for inter-app security holes in android.,conf/icse/LeeBSSZM17,"Youn Kyu Lee, Jae Young Bang, Gholamreza Safi, Arman Shahbazian, Yixue Zhao, Nenad Medvidovic",Mobile application security,
28,icse/icse,2017,"An efficient, robust, and scalable approach for analyzing interacting android apps.",conf/icse/TsutanoBSRD17,"Yutaka Tsutano, Shakthi Bachala, Witawas Srisa-an, Gregg Rothermel, Jackson Dinh",Mobile application security,
29,icse/icse,2017,LibD: scalable and precise third-party library detection in android markets.,conf/icse/LiWWWWLXH17,"Menghao Li, Wei Wang, Pei Wang, Shuai Wang, Dinghao Wu, Jian Liu, Rui Xue, Wei Huo",Mobile application development,
30,icse/icse,2017,Analysis and testing of notifications in Android wear applications.,conf/icse/0006R17,"Hailong Zhang, Atanas Rountev",Mobile application development,
31,icse/icse,2017,Adaptive unpacking of Android apps.,conf/icse/XueLYWW17,"Lei Xue, Xiapu Luo, Le Yu, Shuai Wang, Dinghao Wu",Mobile application development,
32,icse/icse,2017,Performance diagnosis for inefficient loops.,conf/icse/SongL17,"Linhai Song, Shan Lu",Debugging,
33,icse/icse,2017,How do developers fix cross-project correlated bugs?: a case study on the GitHub scientific python ecosystem.,conf/icse/MaCZZX17,"Wanwangying Ma, Lin Chen, Xiangyu Zhang, Yuming Zhou, Baowen Xu",Debugging,
34,icse/icse,2017,Feedback-based debugging.,conf/icse/LinSXLD17,"Yun Lin, Jun Sun, Yinxing Xue, Yang Liu, Jin Song Dong",Debugging,
35,icse/icse,2017,Learning syntactic program transformations from examples.,conf/icse/RolimSDPGGSH17,"Reudismam Rolim, Gustavo Soares, Loris D'Antoni, Oleksandr Polozov, Sumit Gulwani, Rohit Gheyi, Ryo Suzuki, Björn Hartmann",Program synthesis and repair,
36,icse/icse,2017,Precise condition synthesis for program repair.,conf/icse/XiongWYZH0017,"Yingfei Xiong, Jie Wang, Runfa Yan, Jiachen Zhang, Shi Han, Gang Huang, Lu Zhang",Program synthesis and repair,
37,icse/icse,2017,Heuristically matching solution spaces of arithmetic formulas to efficiently reuse solutions.,conf/icse/AquinoDP17,"Andrea Aquino, Giovanni Denaro, Mauro Pezzè",Program synthesis and repair,
38,icse/icse,2017,Exploring API embedding for API usages and applications.,conf/icse/NguyenNPN17,"Trong Duc Nguyen, Anh Tuan Nguyen, Hung Dang Phan, Tien N. Nguyen",Mining software repositories,
39,icse/icse,2017,Unsupervised software-specific morphological forms inference from informal discussions.,conf/icse/ChenXW17,"Chunyang Chen, Zhenchang Xing, Ximing Wang",Mining software repositories,
40,icse/icse,2017,SPAIN: security patch analysis for binaries towards understanding the pain and pills.,conf/icse/XuCCLS17,"Zhengzi Xu, Bihuan Chen, Mahinthan Chandramohan, Yang Liu, Fu Song",Program analysis,
41,icse/icse,2017,Travioli: a dynamic analysis for detecting data-structure traversals.,conf/icse/PadhyeS17,"Rohan Padhye, Koushik Sen",Program analysis,
42,icse/icse,2017,ProEva: runtime proactive performance evaluation based on continuous-time markov chains.,conf/icse/SuCFR17,"Guoxin Su, Taolue Chen, Yuan Feng, David S. Rosenblum",Program analysis,
43,icse/icse,2017,Glacier: transitive class immutability for Java.,conf/icse/CoblenzNAMS17,"Michael J. Coblenz, Whitney Nelson, Jonathan Aldrich, Brad A. Myers, Joshua Sunshine",Program analysis,
44,icse/icse,2017,Challenges for static analysis of Java reflection: literature review and empirical study.,conf/icse/LandmanSV17,"Davy Landman, Alexander Serebrenik, Jurgen J. Vinju",Program analysis,
45,icse/icse,2017,Machine-learning-guided selectively unsound static analysis.,conf/icse/HeoOY17,"Kihong Heo, Hakjoo Oh, Kwangkeun Yi",Program analysis,
46,icse/icse,2017,How good is a security policy against real breaches?: a HIPAA case study.,conf/icse/KafaliJPWS17,"Özgür Kafali, Jasmine Jones, Megan Petruso, Laurie Williams, Munindar P. Singh","Security, safety, and privacy",
47,icse/icse,2017,Adaptive coverage and operational profile-based testing for reliability improvement.,conf/icse/BertolinoMPR17,"Antonia Bertolino, Breno Miranda, Roberto Pietrantuono, Stefano Russo","Security, safety, and privacy",
48,icse/icse,2017,RADAR: a lightweight tool for requirements and architecture decision analysis.,conf/icse/BusariL17,"Saheed A. Busari, Emmanuel Letier",Development tools and frameworks,
49,icse/icse,2017,PEoPL: projectional editing of product lines.,conf/icse/BehringerPB17,"Benjamin Behringer, Jochen Palz, Thorsten Berger",Development tools and frameworks,
50,icse/icse,2017,Do developers read compiler error messages?,conf/icse/BarikSLHFMP17,"Titus Barik, Justin Smith, Kevin Lubick, Elisabeth Holmes, Jing Feng, Emerson R. Murphy-Hill, Chris Parnin",Development tools and frameworks,
51,icse/icse,2017,A general framework for dynamic stub injection.,conf/icse/ChristakisEG017,"Maria Christakis, Patrick Emmisberger, Patrice Godefroid, Peter Müller",Development tools and frameworks,
52,icse/icse,2017,"An empirical study on mutation, statement and branch coverage fault revelation that avoids the unreliable clean program assumption.",conf/icse/ChekamPTH17,"Thierry Titcheu Chekam, Mike Papadakis, Yves Le Traon, Mark Harman",Testing and debugging,
53,icse/icse,2017,Evaluating and improving fault localization.,conf/icse/PearsonCJFAEPK17,"Spencer Pearson, José Campos, René Just, Gordon Fraser, Rui Abreu, Michael D. Ernst, Deric Pang, Benjamin Keller",Testing and debugging,
54,icse/icse,2017,Syntactic and semantic differencing for combinatorial models of test designs.,conf/icse/Tzoref-BrillM17,"Rachel Tzoref-Brill, Shahar Maoz",Testing,
55,icse/icse,2017,Balancing soundness and efficiency for practical testing of configurable systems.,conf/icse/SoutodG17,"Sabrina Souto, Marcelo d'Amorim, Rohit Gheyi",Testing,
56,icse/icse,2017,Automatic text input generation for mobile testing.,conf/icse/0010ZPZMZ17,"Peng Liu, Xiangyu Zhang, Marco Pistoia, Yunhui Zheng, Manoel Marques, Lingfei Zeng",Testing,
57,icse/icse,2017,A test-suite diagnosability metric for spectrum-based fault localization approaches.,conf/icse/PerezAD17,"Alexandre Perez, Rui Abreu, Arie van Deursen",Testing,
58,icse/icse,2017,Automated transplantation and differential testing for clones.,conf/icse/ZhangK17,"Tianyi Zhang, Miryung Kim",Testing,
59,icse/icse,2017,Code defenders: crowdsourcing effective tests and subtle mutants with a mutation testing game.,conf/icse/RojasWCF17,"José Miguel Rojas, Thomas D. White, Benjamin S. Clegg, Gordon Fraser",Testing,
60,icse/icse,2017,Optimizing test placement for module-level regression testing.,conf/icse/ShiTLBC17,"August Shi, Suresh Thummalapenta, Shuvendu K. Lahiri, Nikolaj Bjørner, Jacek Czerwonka",Testing,
61,icse/icse,2017,Learning to prioritize test programs for compiler testing.,conf/icse/ChenBHXZX17,"Junjie Chen, Yanwei Bai, Dan Hao, Yingfei Xiong, Hongyu Zhang, Bing Xie",Testing,
62,icse/icse,2017,What causes my test alarm?: automatic cause analysis for test alarms in system and integration testing.,conf/icse/JiangLYX17,"He Jiang, Xiaochen Li, Zijiang Yang, Jifeng Xuan",Defect prediction,
63,icse/icse,2017,Symbolic model extraction for web application verification.,conf/icse/BocicB17,"Ivan Bocic, Tevfik Bultan",Formal methods,
64,icse/icse,2017,UML diagram refinement (focusing on class- and use case diagrams).,conf/icse/FaitelsonT17,"David Faitelson, Shmuel S. Tyszberowicz",Formal methods,
65,icse/icse,2017,Fuzzy fine-grained code-history analysis.,conf/icse/ServantJ17,"Francisco Servant, James A. Jones",Software evolution,
66,icse/icse,2017,To type or not to type: quantifying detectable bugs in JavaScript.,conf/icse/GaoBB17,"Zheng Gao, Christian Bird, Earl T. Barr",Software evolution,
67,icse/icse,2017,The evolution of continuous experimentation in software product development: from data to a data-driven organization at scale.,conf/icse/FabijanDOB17,"Aleksander Fabijan, Pavel Dmitriev, Helena Holmström Olsson, Jan Bosch",Software evolution,
68,icse/icse,2018,Context-aware patch generation for better automated program repair.,conf/icse/WenCWHC18,"Ming Wen, Junjie Chen, Rongxin Wu, Dan Hao, Shing-Chi Cheung",Software repair,
69,icse/icse,2018,Towards practical program repair with on-demand candidate generation.,conf/icse/HuaZWK18,"Jinru Hua, Mengshi Zhang, Kaiyuan Wang, Sarfraz Khurshid",Software repair,
70,icse/icse,2018,A correlation study between automated program repair and test-suite metrics.,conf/icse/YiTMBR18,"Jooyong Yi, Shin Hwei Tan, Sergey Mechtaev, Marcel Böhme, Abhik Roychoudhury",Software repair,
71,icse/icse,2018,Do automated program repair techniques repair hard and important bugs?,conf/icse/MotwaniSJB18,"Manish Motwani, Sandhya Sankaranarayanan, René Just, Yuriy Brun",Software repair,
72,icse/icse,2018,Software protection on the go: a large-scale empirical study on mobile app obfuscation.,conf/icse/WangBWWCWW18,"Pei Wang, Qinkun Bao, Li Wang, Shuai Wang, Zhaofeng Chen, Tao Wei, Dinghao Wu",Apps and app stores,
73,icse/icse,2018,GUILeak: tracing privacy policy claims on user input data for Android applications.,conf/icse/WangQHSB018,"Xiaoyin Wang, Xue Qin, Mitra Bokaei Hosseini, Rocky Slavin, Travis D. Breaux, Jianwei Niu",Apps and app stores,
74,icse/icse,2018,Online app review analysis for identifying emerging issues.,conf/icse/GaoZLK18,"Cuiyun Gao, Jichuan Zeng, Michael R. Lyu, Irwin King",Apps and app stores,
75,icse/icse,2018,EARMO: an energy-aware refactoring approach for mobile apps.,conf/icse/MoralesSKCA18,"Rodrigo Morales, Rubén Saborido, Foutse Khomh, Francisco Chicano, Giuliano Antoniol",Apps and app stores,
76,icse/icse,2018,Neuro-symbolic program corrector for introductory programming assignments.,conf/icse/BhatiaKS18,"Sahil Bhatia, Pushmeet Kohli, Rishabh Singh",Software evolution and maintenance,
77,icse/icse,2018,Automated localization for unreproducible builds.,conf/icse/RenJXY18,"Zhilei Ren, He Jiang, Jifeng Xuan, Zijiang Yang",Software evolution and maintenance,
78,icse/icse,2018,Enlightened debugging.,conf/icse/LiZdO18,"Xiangyu Li, Shaowei Zhu, Marcelo d'Amorim, Alessandro Orso",Software evolution and maintenance,
79,icse/icse,2018,Experiences and challenges in building a data intensive system for data migration.,conf/icse/ScavuzzoNA18,"Marco Scavuzzo, Elisabetta Di Nitto, Danilo Ardagna",Software evolution and maintenance,
80,icse/icse,2018,Sentiment analysis for software engineering: how far can we go?,conf/icse/0008ZBPLO18,"Bin Lin, Fiorella Zampetti, Gabriele Bavota, Massimiliano Di Penta, Michele Lanza, Rocco Oliveto",Human and social aspects of computing,
81,icse/icse,2018,Identifying features in forks.,conf/icse/ZhouSLXWK18,"Shurui Zhou, Stefan Stanciulescu, Olaf Leßenich, Yingfei Xiong, Andrzej Wasowski, Christian Kästner",Human and social aspects of computing,
82,icse/icse,2018,Roles and impacts of hands-on software architects in five industrial case studies.,conf/icse/RehmanMNUT18,"Inayat Rehman, Mehdi Mirakhorli, Meiyappan Nagappan, Azat Aralbay Uulu, Matthew Thornton",Human and social aspects of computing,
83,icse/icse,2018,Sentiment polarity detection for software development.,conf/icse/CalefatoLMN18,"Fabio Calefato, Filippo Lanubile, Federico Maiorano, Nicole Novielli",Human and social aspects of computing,
84,icse/icse,2018,Semantic program repair using a reference implementation.,conf/icse/MechtaevNNGR18,"Sergey Mechtaev, Manh-Dung Nguyen, Yannic Noller, Lars Grunske, Abhik Roychoudhury",Software repair,
85,icse/icse,2018,Automated repair of mobile friendly problems in web pages.,conf/icse/MahajanAMH18,"Sonal Mahajan, Negarsadat Abolhassani, Phil McMinn, William G. J. Halfond",Software repair,
86,icse/icse,2018,Static automated program repair for heap properties.,conf/icse/TonderG18,"Rijnard van Tonder, Claire Le Goues",Software repair,
87,icse/icse,2018,Overfitting in semantics-based automated program repair.,conf/icse/LeTLG18,"Xuan-Bach D. Le, Ferdian Thung, David Lo, Claire Le Goues",Software repair,
88,icse/icse,2018,Studying the dialogue between users and developers of free apps in the google play store.,conf/icse/HassanTBH18,"Safwat Hassan, Chakkrit Tantithamthavorn, Cor-Paul Bezemer, Ahmed E. Hassan",Apps and app stores,
89,icse/icse,2018,Automated reporting of GUI design violations for mobile apps.,conf/icse/MoranLBJP18,"Kevin Moran, Boyang Li, Carlos Bernal-Cárdenas, Dan Jelf, Denys Poshyvanyk",Apps and app stores,
90,icse/icse,2018,Leveraging program analysis to reduce user-perceived latency in mobile applications.,conf/icse/ZhaoLLM18,"Yixue Zhao, Marcelo Schmitt Laser, Yingjun Lyu, Nenad Medvidovic",Apps and app stores,
91,icse/icse,2018,Repairing crashes in Android apps.,conf/icse/TanDGR18,"Shin Hwei Tan, Zhen Dong, Xiang Gao, Abhik Roychoudhury",Apps and app stores,
92,icse/icse,2018,Hybrid regression test selection.,conf/icse/Zhang18,Lingming Zhang,Regression testing,
93,icse/icse,2018,Fine-grained test minimization.,conf/icse/VahabzadehS018,"Arash Vahabzadeh, Andrea Stocco, Ali Mesbah",Regression testing,
94,icse/icse,2018,FAST approaches to scalable similarity-based test case prioritization.,conf/icse/MirandaCVB18,"Breno Miranda, Emilio Cruciani, Roberto Verdecchia, Antonia Bertolino",Regression testing,
95,icse/icse,2018,Towards refactoring-aware regression test selection.,conf/icse/WangZCKBG18,"Kaiyuan Wang, Chenguang Zhu, Ahmet Çelik, Jongwook Kim, Don S. Batory, Milos Gligoric",Regression testing,
96,icse/icse,2018,Inheritance usage patterns in open-source systems.,conf/icse/StevensonW18,"Jamie Stevenson, Murray I. Wood",Open-source systems,
97,icse/icse,2018,Almost there: a study on quasi-contributors in open source software projects.,conf/icse/Steinmacher0WG18,"Igor Steinmacher, Gustavo Pinto, Igor Scaliante Wiese, Marco Aurélio Gerosa",Open-source systems,
98,icse/icse,2018,Analyzing a decade of Linux system calls.,conf/icse/BagherzadehKBHD18,"Mojtaba Bagherzadeh, Nafiseh Kahani, Cor-Paul Bezemer, Ahmed E. Hassan, Juergen Dingel, James R. Cordy",Open-source systems,
99,icse/icse,2018,To distribute or not to distribute?: why licensing bugs matter.,conf/icse/VendomeGPBVP18,"Christopher Vendome, Daniel M. Germán, Massimiliano Di Penta, Gabriele Bavota, Mario Linares Vásquez, Denys Poshyvanyk",Open-source systems,
100,icse/icse,2018,Augusto: exploiting popular functionalities for the generation of semantic GUI tests with Oracles.,conf/icse/MarianiPZ18,"Leonardo Mariani, Mauro Pezzè, Daniele Zuddas",Test generation,
101,icse/icse,2018,Towards optimal concolic testing.,conf/icse/Wang0CZWL18,"Xinyu Wang, Jun Sun, Zhenbang Chen, Peixin Zhang, Jingyi Wang, Yun Lin",Test generation,
102,icse/icse,2018,DeepTest: automated testing of deep-neural-network-driven autonomous cars.,conf/icse/TianPJR18,"Yuchi Tian, Kexin Pei, Suman Jana, Baishakhi Ray",Test generation,
103,icse/icse,2018,Precise concolic unit testing of C programs using extended units and symbolic alarm filtering.,conf/icse/KimCK18,"Yunho Kim, Yunja Choi, Moonzoo Kim",Test generation,
104,icse/icse,2018,Spatio-temporal context reduction: a pointer-analysis-based static approach for detecting use-after-free vulnerabilities.,conf/icse/YanSCX18,"Hua Yan, Yulei Sui, Shiping Chen, Jingling Xue",Program reduction techniques,
105,icse/icse,2018,Program splicing.,conf/icse/LuCJM18,"Yanxin Lu, Swarat Chaudhuri, Chris Jermaine, David Melski",Program reduction techniques,
106,icse/icse,2018,Chopped symbolic execution.,conf/icse/TrabishMRC18,"David Trabish, Andrea Mattavelli, Noam Rinetzky, Cristian Cadar",Program reduction techniques,
107,icse/icse,2018,Perses: syntax-guided program reduction.,conf/icse/SunLZGS18,"Chengnian Sun, Yuanbo Li, Qirun Zhang, Tianxiao Gu, Zhendong Su",Program reduction techniques,
108,icse/icse,2018,Secure coding practices in Java: challenges and vulnerabilities.,conf/icse/MengNYZA18,"Na Meng, Stefan Nagy, Danfeng (Daphne) Yao, Wenjie Zhuang, Gustavo Arango Argoty","Security, privacy and trust",
109,icse/icse,2018,EnMobile: entity-based characterization and analysis of mobile malware.,conf/icse/0013P018,"Wei Yang, Mukul R. Prasad, Tao Xie","Security, privacy and trust",
110,icse/icse,2018,Model comprehension for security risk assessment: an empirical comparison of tabular vs. graphical representations.,conf/icse/LabunetsMPMO18,"Katsiaryna Labunets, Fabio Massacci, Federica Paci, Sabrina Marczak, Flávio Moreira de Oliveira","Security, privacy and trust",
111,icse/icse,2018,Privacy by designers: software developers' privacy mindset.,conf/icse/HadarHATBSB18,"Irit Hadar, Tomer Hasson, Oshrat Ayalon, Eran Toch, Michael Birnhack, Sofia Sherman, Arod Balissa","Security, privacy and trust",
112,icse/icse,2018,Does the propagation of artifact changes across tasks reflect work dependencies?,conf/icse/Mayr-DornE18,"Christoph Mayr-Dorn, Alexander Egyed",Empirical software engineering,
113,icse/icse,2018,Large-scale analysis of framework-specific exceptions in Android apps.,conf/icse/FanSCMLXPS18,"Lingling Fan, Ting Su, Sen Chen, Guozhu Meng, Yang Liu, Lihua Xu, Geguang Pu, Zhendong Su",Empirical software engineering,
114,icse/icse,2018,Effect sizes and their variance for AB/BA crossover design studies.,conf/icse/MadeyskiK18,"Lech Madeyski, Barbara A. Kitchenham",Empirical software engineering,
115,icse/icse,2018,A large-scale empirical study on the effects of code obfuscations on Android apps and anti-malware products.,conf/icse/HammadGM18,"Mahmoud Hammad, Joshua Garcia, Sam Malek",Empirical software engineering,
116,icse/icse,2018,An empirical study on the interplay between semantic coupling and co-change of software classes.,conf/icse/AjienkaCC18,"Nemitari Ajienka, Andrea Capiluppi, Steve Counsell",Empirical software engineering,
117,icse/icse,2018,DeFlaker: automatically detecting flaky tests.,conf/icse/BellLHEYM18,"Jonathan Bell, Owolabi Legunsen, Michael Hilton, Lamyaa Eloussi, Tifany Yung, Darko Marinov",Test improvement,
118,icse/icse,2018,DetReduce: minimizing Android GUI test suites for regression testing.,conf/icse/ChoiSNW18,"Wontae Choi, Koushik Sen, George C. Necula, Wenyu Wang",Test improvement,
119,icse/icse,2018,Time to clean your test objectives.,conf/icse/MarcozziBKPPC18,"Michaël Marcozzi, Sébastien Bardin, Nikolai Kosmatov, Mike Papadakis, Virgile Prevosto, Loïc Correnson",Test improvement,
120,icse/icse,2018,Prioritizing browser environments for web application test execution.,conf/icse/KwonKR18,"Jung-Hyun Kwon, In-Young Ko, Gregg Rothermel",Test improvement,
121,icse/icse,2018,An empirical study of early access games on the steam platform.,conf/icse/LinBH18,"Dayi Lin, Cor-Paul Bezemer, Ahmed E. Hassan",Empirical studies of code,
122,icse/icse,2018,Correctness attraction: a study of stability of software behavior under runtime perturbation.,conf/icse/DanglotPBM18,"Benjamin Danglot, Philippe Preux, Benoit Baudry, Martin Monperrus",Empirical studies of code,
123,icse/icse,2018,On the diffuseness and the impact on maintainability of code smells: a large scale empirical investigation.,conf/icse/PalombaBPFOL18,"Fabio Palomba, Gabriele Bavota, Massimiliano Di Penta, Fausto Fasano, Rocco Oliveto, Andrea De Lucia",Empirical studies of code,
124,icse/icse,2018,Accurate and efficient refactoring detection in commit history.,conf/icse/TsantalisMEMD18,"Nikolaos Tsantalis, Matin Mansouri, Laleh Mousavi Eshkevari, Davood Mazinanian, Danny Dig",Empirical studies of code,
125,icse/icse,2018,ENTRUST: engineering trustworthy self-adaptive software with dynamic assurance cases.,conf/icse/CalinescuWGIHK18,"Radu Calinescu, Danny Weyns, Simos Gerasimou, M. Usman Iftikhar, Ibrahim Habli, Tim Kelly","Security, privacy and trust",
126,icse/icse,2018,"The good, the bad and the ugly: a study of security decisions in a cyber-physical systems game.",conf/icse/FreyRAPN18,"Sylvain Frey, Awais Rashid, Pauline Anthonysamy, Maria Pinto-Albuquerque, Syed Asad Naqvi","Security, privacy and trust",
127,icse/icse,2018,"Lightweight, obfuscation-resilient detection and family identification of Android malware.",conf/icse/GarciaHM18,"Joshua Garcia, Mahmoud Hammad, Sam Malek","Security, privacy and trust",
128,icse/icse,2018,Are vulnerabilities discovered and resolved like other defects?,conf/icse/MorrisonPXCW18,"Patrick J. Morrison, Rahul Pandita, Xusheng Xiao, Ram Chillarege, Laurie Williams","Security, privacy and trust",
129,icse/icse,2018,How modern news aggregators help development communities shape and share knowledge.,conf/icse/AnicheTSW0SG18,"Maurício Finavaro Aniche, Christoph Treude, Igor Steinmacher, Igor Wiese, Gustavo Pinto, Margaret-Anne D. Storey, Marco Aurélio Gerosa",Communities and ecosystems,
130,icse/icse,2018,Adding sparkle to social coding: an empirical study of repository badges in the npm ecosystem.,conf/icse/TrockmanZKV18,"Asher Trockman, Shurui Zhou, Christian Kästner, Bogdan Vasilescu",Communities and ecosystems,
131,icse/icse,2018,"""Was my contribution fairly reviewed?"": a framework to study the perception of fairness in modern code reviews.",conf/icse/GermanRPYII18,"Daniel M. Germán, Gregorio Robles, Germán Poo-Caamaño, Xin Yang, Hajimu Iida, Katsuro Inoue",Communities and ecosystems,
132,icse/icse,2018,Collaborative model-driven software engineering: a classification framework and a research map.,conf/icse/RuscioFMM18,"Davide Di Ruscio, Mirco Franzago, Henry Muccini, Ivano Malavolta",Communities and ecosystems,
133,icse/icse,2018,ChangeLocator: locate crash-inducing changes based on crash reports.,conf/icse/WuWCZ18,"Rongxin Wu, Ming Wen, Shing-Chi Cheung, Hongyu Zhang",Testing,
134,icse/icse,2018,Are mutation scores correlated with real fault detection?: a large scale empirical study on the relationship between mutants and real faults.,conf/icse/PapadakisSYB18,"Mike Papadakis, Donghwan Shin, Shin Yoo, Doo-Hwan Bae",Testing,
135,icse/icse,2018,Efficient sampling of SAT solutions for testing.,conf/icse/DutraLBS18,"Rafael Dutra, Kevin Laeufer, Jonathan Bachrach, Koushik Sen",Testing,
136,icse/icse,2018,Are fix-inducing changes a moving target?: a longitudinal case study of just-in-time defect prediction.,conf/icse/McIntoshK18,"Shane McIntosh, Yasutaka Kamei",Testing,
137,icse/icse,2018,Understanding developers' needs on deprecation as a language feature.,conf/icse/SawantADB18,"Anand Ashok Sawant, Maurício Finavaro Aniche, Arie van Deursen, Alberto Bacchelli",Studying software engineers,
138,icse/icse,2018,On the dichotomy of debugging behavior among programmers.,conf/icse/BellerSSZ18,"Moritz Beller, Niels Spruit, Diomidis Spinellis, Andy Zaidman",Studying software engineers,
139,icse/icse,2018,Measuring program comprehension: a large-scale field study with professionals.,conf/icse/XiaBLXHL18,"Xin Xia, Lingfeng Bao, David Lo, Zhenchang Xing, Ahmed E. Hassan, Shanping Li",Studying software engineers,
140,icse/icse,2018,Data scientists in software teams: state of the art and challenges.,conf/icse/Kim0DB18,"Miryung Kim, Thomas Zimmermann, Robert DeLine, Andrew Begel",Studying software engineers,
141,icse/icse,2018,Dataflow tunneling: mining inter-request data dependencies for request-based applications.,conf/icse/YuJ18,"Xiao Yu, Guoliang Jin",Program analysis,
